Ranking,, State, School Sector, Location, Total Enrolment, Combined Score As Percentage of Number One School In Australia Regardless of School Sector
"	58",Elwood College, VIC, Government, Major Cities,595,77.23%
,,,,,,
"	59",Mullauna Secondary College, VIC, Government, Major Cities,467,77.21%
,,,,,,
,,,,,,
"	60",Rosehill Secondary College, VIC, Government, Major Cities,1151,77.21%
,,,,,,
"	61",Donald High School, VIC, Government, Outer Regional,155,77.15%
,,,,,,
"	62",Derrinallum P-12 College, VIC, Government, Outer Regional,72,77.09%
,,,,,,
,,,,,,
"	63",Wycheproof P-12 College, VIC, Government, Outer Regional,120,77.06%
,,,,,,
"	64",Maribyrnong Secondary College, VIC, Government, Major Cities,1212,77.05%
,,,,,,
"	65",Balmoral K-12 Community College, VIC, Government, Outer Regional,144,76.84%
,,,,,,
"	66",Norwood Secondary College, VIC, Government, Major Cities,1073,76.84%
,,,,,,
"	67",Sandringham College, VIC, Government, Major Cities,933,76.84%
,,,,,,
"	68",Bendigo South East 7-10 Secondary College, VIC, Government, Inner Regional,1481,76.82%
,,,,,,
"	69",Kambrya College, VIC, Government, Major Cities,1190,76.82%
,,,,,,
"	70",Mordialloc College, VIC, Government, Major Cities,669,76.72%
,,,,,,
"	71",Point Cook Prep - Year 9 College, VIC, Government, Major Cities,1550,76.64%
,,,,,,
"	72",Wedderburn College, VIC, Government, Outer Regional,224,76.61%
,,,,,,
"	73",Footscray City College, VIC, Government, Major Cities,977,76.60%
,,,,,,
"	74",Castlemaine Secondary College, VIC, Government, Inner Regional,646,76.46%
,,,,,,
"	75",Charlton College, VIC, Government, Outer Regional,136,76.45%
,,,,,,
"	76",Matthew Flinders Girls' SC, VIC, Government, Major Cities,648,76.42%
,,,,,,
"	77", Mallacoota P-12 College, VIC, Government, Remote,135,76.41%
,,,,,,
"	78", Wantirna College, VIC, Government, Major Cities,1248,76.39%
"	79", Dimboola Memorial Secondary College, VIC, Government, Outer Regional,171,76.39%
,,,,,,
"	80", Horsham College, VIC, Government, Outer Regional,874,76.27%
,,,,,,
"	81", Pyramid Hill College, VIC, Government, Outer Regional,99,76.27%
,,,,,,
"	82", Casterton Secondary College, VIC, Government, Outer Regional,159,76.24%
"	83",Timbarra P-9 College, VIC, Government, Major Cities,681,76.17%
,,,,,,
"	84",Mount Eliza Secondary College, VIC, Government, Major Cities,505,76.09%
,,,,,,
"	85",Montmorency Secondary College, VIC, Government, Major Cities,794,76.06%
,,,,,,
"	86", Diamond Valley College, VIC, Government, Major Cities,714,76.02%
,,,,,,
"	87",Gladstone Park Secondary College, VIC, Government, Major Cities,1589,76.02%
,,,,,,
"	88",Rainbow P-12 College (interim name), VIC, Government, Remote,135,75.95%
,,,,,,
"	89", Braybrook College, VIC, Government, Major Cities,1361,75.94%
,,,,,,
"	90",St Albans Secondary College, VIC, Government, Major Cities,1367,75.94%
,,,,,,
"	91",Mirboo North Secondary College, VIC, Government, Inner Regional,318,75.93%
,,,,,,
"	92",Leongatha Secondary College, VIC, Government, Inner Regional,506,75.91%
,,,,,,
"	93",Timboon P-12 School, VIC, Government, Outer Regional,453,75.91%
,,,,,,
"	94",Gisborne Secondary College, VIC, Government, Inner Regional,1040,75.91%
,,,,,,
"	95",Ashwood High School, VIC, Government, Major Cities,355,75.87%
,,,,,,
"	96",Oberon High School, VIC, Government, Major Cities,565,75.83%
,,,,,,
"	97",Corryong College, VIC, Government, Outer Regional,321,75.80%
,,,,,,
"	98",Kyneton Secondary College, VIC, Government, Inner Regional,508,75.72%
,,,,,,
"	99",Warrandyte High School, VIC, Government, Major Cities,466,75.69%
,,,,,,
"	100",Sunbury Downs Sec College, VIC, Government, Major Cities,769,75.64%
